category,experience,min_pred,max_pred,avg_pred
App Development,Beginner,3726,9065,6405
App Development,Expert,4919,11883,8390
App Development,Intermediate,4752,11464,8109
Content Writing,Beginner,5096,12421,8752
Content Writing,Expert,4341,10637,7493
Content Writing,Intermediate,4753,11612,8185
Customer Support,Beginner,12327,28749,20527
Customer Support,Expert,11223,26174,18716
Customer Support,Intermediate,10829,25298,18055
Data Entry,Beginner,4283,10398,7352
Data Entry,Expert,3697,9059,6362
Data Entry,Intermediate,5428,13022,9224
Digital Marketing,Beginner,4492,10755,7631
Digital Marketing,Expert,4431,10578,7505
Digital Marketing,Intermediate,5437,12944,9191
Graphic Design,Beginner,4539,11105,7804
Graphic Design,Expert,4429,10880,7661
Graphic Design,Intermediate,4162,10246,7214
SEO,Beginner,4266,10330,7307
SEO,Expert,4009,9745,6866
SEO,Intermediate,5340,12811,9080
Web Development,Beginner,4369,10635,7504
Web Development,Expert,4260,10349,7310
Web Development,Intermediate,5757,13912,9829
